"","year","month","date","home","away","h_points","a_points","winner","winning_margin","win_status","h_fg","a_fg","h_fga","a_fga","h_3p","a_3p","h_3pa","a_3pa","h_ft","a_ft","h_fta","a_fta","h_orb","a_orb","h_drb","a_drb","h_trb","a_trb","h_ast","a_ast","h_stl","a_stl","h_blk","a_blk","h_tov","a_tov","h_pf","a_pf","h_tsp","a_tsp","h_efgp","a_efgp","h_ortg","a_ortg","h_drtg","a_drtg"
"72",2016,11,9," SAS"," HOU",99,101," HOU",2,"Away",33,37,84,78,7,10,23,30,26,17,30,22,10,8,29,37,39,45,22,25,14,7,5,4,10,19,15,24,0.509,0.576,0.435,0.538,103.8,105.9,105.9,103.8
"73",2016,11,9," GSW"," DAL",116,95," GSW",21,"Home",43,34,74,86,17,6,33,28,13,21,22,28,5,13,34,29,39,42,33,20,3,10,5,2,15,7,22,20,0.693,0.483,0.696,0.43,127.7,104.5,104.5,127.7
"74",2016,11,9," LAC"," POR",111,80," LAC",31,"Home",38,31,87,88,11,6,32,30,24,12,33,14,14,11,41,36,55,47,24,16,9,4,7,3,7,14,15,23,0.547,0.425,0.5,0.386,118.6,85.5,85.5,118.6
"75",2016,11,10," MIL"," NOP",106,112," NOP",6,"Away",40,39,91,89,6,9,18,25,20,25,25,27,11,11,37,36,48,47,23,22,4,9,5,7,11,10,20,19,0.52,0.555,0.473,0.489,107.7,113.8,113.8,107.7
"76",2016,11,10," DEN"," GSW",101,125," GSW",24,"Away",38,46,94,85,13,14,36,30,12,19,17,20,17,9,27,35,44,44,26,33,7,15,3,6,18,15,18,18,0.498,0.666,0.473,0.624,102.7,127,127,102.7
"77",2016,11,10," SAC"," LAL",91,101," LAL",10,"Away",34,38,85,74,8,9,21,27,15,16,20,22,11,4,32,38,43,42,18,18,13,8,3,2,15,21,19,19,0.485,0.603,0.447,0.574,93.2,103.4,103.4,93.2
"78",2016,11,11," CHO"," TOR",111,113," TOR",2,"Away",38,43,93,90,17,6,41,22,18,21,24,22,18,8,39,37,57,45,22,18,1,8,4,5,11,5,16,21,0.536,0.567,0.5,0.511,117.1,119.2,119.2,117.1
"79",2016,11,11," ORL"," UTA",74,87," UTA",13,"Away",26,33,78,81,8,7,20,28,14,14,19,16,8,12,35,40,43,52,13,19,11,9,6,7,12,15,18,18,0.428,0.494,0.385,0.451,83.3,98,98,83.3
"80",2016,11,11," BOS"," NYK",115,87," BOS",28,"Home",35,33,90,94,11,6,27,23,34,15,43,17,19,21,34,36,53,57,23,19,16,7,3,11,15,25,18,26,0.528,0.429,0.45,0.383,113.4,85.8,85.8,113.4
"81",2016,11,11," OKC"," LAC",108,110," LAC",2,"Away",38,39,88,86,16,11,28,27,16,21,19,35,9,11,36,34,45,45,21,18,3,9,1,3,16,10,27,20,0.56,0.542,0.523,0.517,108.7,110.8,110.8,108.7
